"Sentence"	"Author"
"What's onkores, Bilgewater?"	"twain"
"He wouldn't ever dared to talk such talk in his life before."	"twain"
"Then she got to talking about her husband, and about her relations up the river, and her relations down the river, and about how much better off they used to was, and how they didn't know but they'd made a mistake coming to our town, instead of letting well aloneand so on and so on, till I was afeard I had made a mistake coming to her to find out what was going on in the town; but by and by she dropped on to pap and the murder, and then I was pretty willing to let her clatter right along."	"twain"
"Tom said he was right behind Jim's bed now, and we'd dig in under it, and when we got through there couldn't nobody in the cabin ever know there was any hole there, because Jim's counter-pin hung down most to the ground, and you'd have to raise it up and look under to see the hole."	"twain"
"That ain't got anything to do with it, Huck Finn."	"twain"
"Well, says I, you done it, but I didn't think you could."	"twain"
"There ain't a minute to lose."	"twain"
"These uncles of yourn ain't no uncles at all; they're a couple of fraudsregular dead-beats."	"twain"
"WELL, three or four months run along, and it was well into the winter now."	"twain"
"He was a mighty nice old man."	"twain"
"I know you clear through."	"twain"
"There warn't no more popular man in town than what that undertaker was."	"twain"
"It was a monstrous big river here, with the tallest and the thickest kind of timber on both banks; just a solid wall, as well as I could see by the stars."	"twain"
"I reck'n he's ben dead two er three days."	"twain"
"The door of the cavern was big enough to roll a hogshead in, and on one side of the door the floor stuck out a little bit, and was flat and a good place to build a fire on."	"twain"
"If he could use his right hand, you would see that he wrote his own letters and mine too."	"twain"
"But we didn't need it."	"twain"
"So there it was!but I couldn't help it."	"twain"
"Is dey out o' sight yit?"	"twain"
"Well, I says, when I see the king in that doggery yesterday I says to myself, we can't get him home for hours, till he's soberer; so I went a-loafing around town to put in the time and wait."	"twain"
"What did you say your name was?"	"twain"
"Then we lit up and had a supper, and the king and the duke fairly laughed their bones loose over the way they'd served them people."	"twain"
"At last they got out the coffin and begun to unscrew the lid, and then such another crowding and shouldering and shoving as there was, to scrouge in and get a sight, you never see; and in the dark, that way, it was awful."	"twain"
"Now we'll slide out and give the sheep-signal."	"twain"
"Being made of a whole sheet, that way, there was rope enough for forty pies if we'd a wanted them, and plenty left over for soup, or sausage, or anything you choose."	"twain"
"I knowed he was dead years ago, but I never let on."	"twain"
"The fifth night below St. Louis we had a big storm after midnight, with a power of thunder and lightning, and the rain poured down in a solid sheet."	"twain"
"Bilgewater, kin I trust you?"	"twain"
"There was another clan of aristocracy around therefive or six familiesmostly of the name of Shepherdson."	"twain"
"Jim was awful disappointed, but I said never mind, Cairo would be the next place, I reckoned."	"twain"
"Children, don't you say a word."	"twain"
"We put all the other things handy at the back of the cavern."	"twain"
"I reckon it wouldn't do no good."	"twain"
"Now ain' dat so, bossain't it so?"	"twain"
"Boggs comes a-tearing along on his horse, whooping and yelling like an Injun, and singing out: Cler the track, thar."	"twain"
"You see, when we left him all alone we had to tie him, because if anybody happened on to him all by himself and not tied it wouldn't look much like he was a runaway nigger, you know."	"twain"
"So I got all my traps into my canoe again so as to have them out of sight, and I put out the fire and scattered the ashes around to look like an old last year's camp, and then clumb a tree."	"twain"
"And, besides, I've already told 'em to put on another plate when I see you coming; so you mustn't disappoint us."	"twain"
"If anybody can persuade him, she can."	"twain"
"I was sorry to hear Jim say that, it was such a lowering of him."	"twain"
"We done it, and then peeped down the woods through the leaves."	"twain"
"Well, the king he talked him blind; so at last he give in, and said all right, but said he believed it was blamed foolishness to stay, and that doctor hanging over them."	"twain"
"He's got to have a rope ladder; they all do."	"twain"
"T'other one said this warn't one of the short ones, he reckonedand then they laughed, and he said it over again, and they laughed again; then they waked up another fellow and told him, and laughed, but he didn't laugh; he ripped out something brisk, and said let him alone."	"twain"
"But it warn't no use; he stormed right along, and said any man that pretended to be an Englishman and couldn't imitate the lingo no better than what he did was a fraud and a liar."	"twain"
"Some of the old women was knitting, and some of the young folks was courting on the sly."	"twain"
"Then I slid out quiet and throwed the snakes clear away amongst the bushes; for I warn't going to let Jim find out it was all my fault, not if I could help it."	"twain"
"If he'd a-chawed up all the men he's ben a-gwyne to chaw up in the last twenty year he'd have considerable ruputation now."	"twain"
"But I warn you all that a time 's coming when you're going to feel sick whenever you think of this day."	"twain"
"Yes, dey will, I reck'n, Mars Tom, but what kine er time is Jim havin'?"	"twain"
"I made the land about a mile below, and been fooling along ever since, trying to get people to do something, but they said, 'What, in such a night and such a current?"	"twain"
"But I dasn't scratch."	"twain"
"Well, all de niggers went in, but dey didn't have much."	"twain"
"So I says: Just let the auction go right along, and don't worry."	"twain"
"Then I says:  There's one more thingthat bag of money."	"twain"
